subject,object,original_label
carbohydrate dehydrogenases,3 phosphoglycerate dehydrogenase,broader
neoplasms by site,mammary neoplasm,broader
intestinal diseases,colonic disease,broader
food,agricultural crops,broader
mental processes,mindfulness meditation,broader
rna,neoplasm rna,broader
heart diseases,heart enlargement,broader
massage,myofascial release treatments,broader
neurons,purkyne cell,broader
ccn intercellular signaling proteins,ccn2 protein,broader
neurofibroma,plexiform neurofibroma,broader
glucosidases,glucoamylase,broader
heart injuries,heart contusion,broader
norpregnadienes,promegestone,broader
ampicillin,piperacillin,broader
therapeutics,patient care bundles,broader
hemangioma,encephalofacial hemangiomatosis syndrome,broader
endoscopy,amnioscopy,broader
lucilia blowflies,australian sheep blowfly,broader
hyperthyroxinemia,refetoff syndrome,broader
papio,papio cynocephalus,broader
human activities,temperance movement,broader
behavior and behavior mechanisms,human characteristic,broader
extremities,upper extremity,broader
strabismus,cross eye,broader
coleoptera,curculionidae,broader
cyclodecanes,taxoid,broader
ultrasonography,breast ultrasonographies,broader
lipopeptides,lipoglycopeptides,broader
circumventricular organs,median eminence,broader
physical fitness,physical functional performances,broader
staphylococcal infections,staphylococcal pneumonias,broader
drinking water,water insecurity,broader
epidemiologic methods,exposure notification,broader
aryl hydrocarbon hydroxylases,cyp1a1 protein,broader
arbovirus infections,colorado tick fever,broader
annexins,annexin vi,broader
skull,frontal bone,broader
energy transfer,linear energy transfer,broader
plant extracts,ispaghula,broader
pensions,public law 93 406,broader
nose,nasal concha,broader
attitude to health,health services misuses,broader
diagnostic techniques and procedures,urologic diagnostic technics,broader
placenta,decidua,broader
immunologic deficiency syndromes,primary immune deficiency disorder,broader
cell cycle checkpoints,g2 cell cycle checkpoints,broader
cranial nerve neoplasms,acoustic neurinomas,broader
biophysical phenomena,membrane fluidities,broader
social planning,urban planning,broader
medical informatics applications,computer assisted decision making,broader
pore forming cytotoxic proteins,hemolysins,broader
eosinophilia,eosinophilic hyperplastic lymphogranuloma,broader
amaryllidaceae alkaloids,galanthamine,broader
tumor necrosis factors,rankl protein,broader
glycoside hydrolases,iduronidase,broader
infant death,cot death,broader
brain stem neoplasms,dipg brain tumor,broader
membrane proteins,bim protein,broader
annelida,hirudineas,broader
